Category,Kmer,Sample,Program,Score,Reads
Complete,KmerB,CE2,Trinity,86.3,"50,516,835"
Complete,KmerB,CE3,Trinity,84.7,"41,947,175"
Complete,KmerB,CE4,Trinity,84.7,"44,969,393"
Complete,KmerB,CE5,Trinity,85,"45,605,396"
Complete,KmerB,DM1,Trinity,97.9,"87,423,452"
Complete,KmerB,DM2,Trinity,98.4,"85,714,154"
Complete,KmerB,DM3,Trinity,98.4,"88,252,694"
Complete,KmerB,DM4,Trinity,97.9,"82,110,608"
Complete,KmerB,DM5,Trinity,98.3,"102,413,880"
Complete,KmerB,DM6,Trinity,98.2,"98,529,578"
Complete,KmerC,MM1,Trinity,98.2,"33,700,156"
Complete,KmerC,MM2,Trinity,98.4,"41,236,457"
Complete,KmerC,MM3,Trinity,98.8,"35,598,598"
Complete,KmerC,MM4,Trinity,93.4,"41,745,958"
Complete,KmerC,MM5,Trinity,96.3,"45,329,544"
Complete,KmerC,MM6,Trinity,93.9,"44,469,310"
Complete,KmerC,CE1,Trinity,86.2,"40,302,838"
Complete,KmerC,CE2,Trinity,86.5,"50,516,835"
Complete,KmerC,CE3,Trinity,84.7,"41,947,175"
Complete,KmerC,CE4,Trinity,84.7,"44,969,393"
Complete,KmerC,CE5,Trinity,85.1,"45,605,396"
Complete,KmerC,DM1,Trinity,97.9,"87,423,452"
Complete,KmerC,DM2,Trinity,98.5,"85,714,154"
Complete,KmerC,DM3,Trinity,98.4,"88,252,694"
Complete,KmerC,DM4,Trinity,98.1,"82,110,608"
Complete,KmerC,DM5,Trinity,98.3,"102,413,880"
Complete,KmerC,DM6,Trinity,98.3,"98,529,578"
Single-Copy,KmerA,MM1,Trinity,65.4,"33,700,156"
Single-Copy,KmerA,MM2,Trinity,58.4,"41,236,457"
Single-Copy,KmerA,MM3,Trinity,60.2,"35,598,598"
Single-Copy,KmerA,MM4,Trinity,51.1,"41,745,958"
Single-Copy,KmerA,MM5,Trinity,54.6,"45,329,544"
Single-Copy,KmerA,MM6,Trinity,52.2,"44,469,310"
Single-Copy,KmerA,CE1,Trinity,69.7,"40,302,838"
Single-Copy,KmerA,CE2,Trinity,68.8,"50,516,835"
Single-Copy,KmerA,CE3,Trinity,75.6,"41,947,175"
Single-Copy,KmerA,CE4,Trinity,75.6,"44,969,393"
Single-Copy,KmerA,CE5,Trinity,75.8,"45,605,396"
Single-Copy,KmerA,DM1,Trinity,57.1,"87,423,452"
Single-Copy,KmerA,DM2,Trinity,54.1,"85,714,154"
Single-Copy,KmerA,DM3,Trinity,52.5,"88,252,694"
Single-Copy,KmerA,DM4,Trinity,54.7,"82,110,608"
Single-Copy,KmerA,DM5,Trinity,49.2,"102,413,880"
Single-Copy,KmerA,DM6,Trinity,55.4,"98,529,578"
Single-Copy,KmerB,MM1,Trinity,66.7,"33,700,156"
Single-Copy,KmerB,MM2,Trinity,59.8,"41,236,457"
Single-Copy,KmerB,MM3,Trinity,61.3,"35,598,598"
Single-Copy,KmerB,MM4,Trinity,51.2,"41,745,958"
Single-Copy,KmerB,MM5,Trinity,54.1,"45,329,544"
Single-Copy,KmerB,MM6,Trinity,52.2,"44,469,310"
Single-Copy,KmerB,CE1,Trinity,70.2,"40,302,838"
Single-Copy,KmerB,CE2,Trinity,68.5,"50,516,835"
Single-Copy,KmerB,CE3,Trinity,75.4,"41,947,175"
Single-Copy,KmerB,CE4,Trinity,75.7,"44,969,393"
Single-Copy,KmerB,CE5,Trinity,76.4,"45,605,396"
Single-Copy,KmerB,DM1,Trinity,58.6,"87,423,452"
Single-Copy,KmerB,DM2,Trinity,53.5,"85,714,154"
Single-Copy,KmerB,DM3,Trinity,53.5,"88,252,694"
Single-Copy,KmerB,DM4,Trinity,55,"82,110,608"
Single-Copy,KmerB,DM5,Trinity,49.7,"102,413,880"
Single-Copy,KmerB,DM6,Trinity,56.6,"98,529,578"
Single-Copy,KmerC,MM1,Trinity,66.1,"33,700,156"
Single-Copy,KmerC,MM2,Trinity,58.2,"41,236,457"
Single-Copy,KmerC,MM3,Trinity,59.6,"35,598,598"
Single-Copy,KmerC,MM4,Trinity,52,"41,745,958"
Single-Copy,KmerC,MM5,Trinity,55.4,"45,329,544"
Single-Copy,KmerC,MM6,Trinity,52.1,"44,469,310"
Single-Copy,KmerC,CE1,Trinity,69.4,"40,302,838"
Single-Copy,KmerC,CE2,Trinity,69.4,"50,516,835"
Single-Copy,KmerC,CE3,Trinity,75.8,"41,947,175"
Single-Copy,KmerC,CE4,Trinity,75.1,"44,969,393"
Single-Copy,KmerC,CE5,Trinity,76.2,"45,605,396"
Single-Copy,KmerC,DM1,Trinity,58.5,"87,423,452"
Single-Copy,KmerC,DM2,Trinity,54.6,"85,714,154"
Single-Copy,KmerC,DM3,Trinity,53.1,"88,252,694"
Single-Copy,KmerC,DM4,Trinity,54.4,"82,110,608"
Single-Copy,KmerC,DM5,Trinity,49.4,"102,413,880"
Single-Copy,KmerC,DM6,Trinity,55.8,"98,529,578"
Duplicated,KmerA,MM1,Trinity,32.5,"33,700,156"
Duplicated,KmerA,MM2,Trinity,40.1,"41,236,457"
Duplicated,KmerA,MM3,Trinity,38.4,"35,598,598"
Duplicated,KmerA,MM4,Trinity,42.5,"41,745,958"
Duplicated,KmerA,MM5,Trinity,41.8,"45,329,544"
Duplicated,KmerA,MM6,Trinity,41.8,"44,469,310"
Duplicated,KmerA,CE1,Trinity,16.5,"40,302,838"
Duplicated,KmerA,CE2,Trinity,17.6,"50,516,835"
Duplicated,KmerA,CE3,Trinity,9.2,"41,947,175"
Duplicated,KmerA,CE4,Trinity,9.1,"44,969,393"
Duplicated,KmerA,CE5,Trinity,9.3,"45,605,396"
Duplicated,KmerA,DM1,Trinity,40.9,"87,423,452"
Duplicated,KmerA,DM2,Trinity,44.4,"85,714,154"
Duplicated,KmerA,DM3,Trinity,45.8,"88,252,694"
Duplicated,KmerA,DM4,Trinity,43.4,"82,110,608"
Duplicated,KmerA,DM5,Trinity,49.1,"102,413,880"
Duplicated,KmerA,DM6,Trinity,42.8,"98,529,578"
Duplicated,KmerB,MM1,Trinity,31.4,"33,700,156"
Duplicated,KmerB,MM2,Trinity,38.8,"41,236,457"
Duplicated,KmerB,MM3,Trinity,37.3,"35,598,598"
Duplicated,KmerB,MM4,Trinity,42.2,"41,745,958"
Duplicated,KmerB,MM5,Trinity,42.3,"45,329,544"
Duplicated,KmerB,MM6,Trinity,41.8,"44,469,310"
